iter	Passed	Remaining
455	961	1146
456	962	1143
457	963	1140
458	964	1137
459	965	1133
460	968	1132
461	970	1130
462	972	1127
463	973	1124
464	974	1121
465	975	1118
466	977	1115
467	978	1112
468	979	1108
469	980	1105
470	983	1104
471	984	1101
472	986	1098
473	987	1095
474	988	1092
475	989	1089
476	990	1086
477	991	1083
478	992	1080
479	994	1076
480	995	1073
481	997	1072
482	999	1069
483	1000	1066
484	1002	1064
485	1003	1061
486	1004	1058
487	1006	1055
488	1007	1052
489	1008	1050
490	1009	1046
491	1012	1045
492	1014	1043
493	1015	1040
494	1017	1037
495	1018	1034
496	1019	1032
497	1021	1029
498	1022	1026
499	1023	1023
500	1024	1020
501	1026	1018
502	1029	1016
503	1030	1014
504	1032	1011
505	1033	1008
506	1034	1005
507	1035	1002
508	1036	999
509	1037	997
510	1038	994
511	1039	991
512	1042	990
513	1044	987
514	1046	985
515	1047	982
516	1048	979
517	1050	977
518	1051	974
519	1053	972
520	1055	970
521	1057	968
522	1059	966
523	1060	963
524	1061	960
525	1062	957
526	1063	954
527	1064	951
528	1066	949
529	1067	946
530	1068	943
531	1070	941
532	1072	939
533	1073	936
534	1074	933
535	1075	930
536	1076	928
537	1078	925
538	1079	923
539	1080	920
540	1082	918
541	1084	916
542	1086	914
543	1087	911
544	1089	909
545	1090	906
546	1091	904
547	1092	901
548	1093	898
549	1095	895
550	1096	893
551	1097	890
552	1100	889
553	1102	887
554	1103	884
555	1104	882
556	1106	879
557	1107	877
558	1109	875
559	1110	872
560	1111	870
561	1114	868
562	1116	866
563	1117	864
564	1119	861
565	1120	859
566	1121	856
567	1122	854
568	1124	851
569	1125	849
570	1126	846
571	1130	845
572	1131	843
573	1133	841
574	1135	838
575	1136	836
576	1137	834
577	1139	831
578	1140	829
579	1141	826
580	1145	826
581	1146	823
582	1148	821
583	1149	818
584	1150	816
585	1151	813
586	1153	811
587	1154	808
588	1155	806
589	1156	803
590	1159	802
591	1161	800
592	1162	797
593	1164	795
594	1165	793
595	1166	790
596	1167	788
597	1169	785
598	1170	783
599	1171	781
600	1174	779
601	1176	777
602	1177	775
603	1178	772
604	1179	770
605	1180	767
606	1182	765
607	1183	763
608	1184	760
609	1185	758
610	1188	756
611	1189	754
612	1190	751
613	1192	749
614	1193	747
615	1194	744
616	1196	742
617	1197	740
618	1198	737
619	1199	735
620	1202	733
621	1204	731
622	1205	729
623	1206	727
624	1207	724
625	1208	722
626	1210	719
627	1211	717
628	1213	715
629	1214	713
630	1217	711
631	1218	709
632	1220	707
633	1221	705
634	1223	703
635	1224	700
636	1225	698
637	1226	696
638	1227	693
639	1228	691
640	1230	688
641	1232	687
642	1234	685
643	1235	682
644	1236	680
645	1237	678
646	1238	675
647	1239	673
648	1241	671
649	1242	669
650	1243	666
651	1246	665
652	1248	663
653	1249	661
654	1250	658
655	1252	656
656	1253	654
657	1254	652
658	1256	649
659	1257	647
660	1259	645
661	1261	644
662	1263	642
663	1264	639
664	1265	637
665	1266	635
666	1267	633
667	1268	630
668	1270	628
669	1271	626
670	1272	623
671	1274	622
672	1276	620
673	1277	618
674	1278	615
675	1280	613
676	1281	611
677	1282	608
678	1283	606
679	1284	604
680	1285	602
681	1286	599
682	1289	598
683	1291	596
684	1293	594
685	1295	592
686	1296	590
687	1297	588
688	1299	586
689	1300	584
690	1301	582
691	1304	580
692	1306	578
693	1307	576
694	1309	574
695	1310	572
696	1311	569
697	1312	567
698	1313	565
699	1314	563
700	1315	561
701	1317	559
702	1320	557
703	1321	555
704	1322	553
705	1324	551
706	1325	549
707	1326	547
708	1328	545
709	1329	542
710	1330	540
711	1331	538
712	1334	537
713	1335	535
714	1337	533
715	1338	530
716	1339	528
717	1340	526
718	1342	524
719	1343	522
720	1344	520
721	1345	518
722	1348	516
723	1350	514
724	1351	512
725	1352	510
726	1353	508
727	1354	506
728	1356	504
729	1357	502
730	1358	500
731	1360	497
732	1361	495
733	1363	494
734	1365	492
735	1366	490
736	1367	488
737	1368	485
738	1369	483
739	1371	481
740	1372	479
741	1373	477
742	1374	475
743	1375	473
744	1378	471
745	1379	469
746	1380	467
747	1381	465
748	1383	463
749	1384	461
750	1385	459
751	1386	457
752	1387	455
753	1388	453
754	1389	451
755	1391	449
756	1393	447
757	1394	445
758	1395	443
759	1396	441
760	1398	439
761	1399	436
762	1400	434
763	1401	432
764	1402	430
765	1403	428
766	1404	426
767	1407	425
768	1408	423
769	1409	421
770	1411	419
771	1412	417
772	1413	415
773	1414	413
774	1415	411
775	1417	409
776	1418	407
777	1420	405
778	1422	403
779	1423	401
780	1424	399
781	1425	397
782	1426	395
783	1427	393
784	1429	391
785	1430	389
786	1431	387
787	1433	385
788	1435	383
789	1437	382
790	1438	380
791	1440	378
792	1441	376
793	1442	374
794	1443	372
795	1445	370
796	1446	368
797	1447	366
798	1450	364
799	1451	362
800	1453	361
801	1454	359
802	1455	357
803	1456	355
804	1457	353
805	1459	351
806	1460	349
807	1461	347
808	1462	345
809	1466	343
810	1467	342
811	1468	340
812	1470	338
813	1471	336
814	1472	334
815	1473	332
816	1475	330
817	1476	328
818	1477	326
819	1480	324
820	1482	323
821	1483	321
822	1485	319
823	1486	317
824	1487	315
825	1488	313
826	1490	311
827	1491	309
828	1492	307
829	1496	306
830	1497	304
831	1499	302
832	1501	300
833	1502	299
834	1503	297
835	1505	295
836	1506	293
837	1510	292
838	1512	290
839	1514	288
840	1515	286
841	1516	284
842	1517	282
843	1519	280
844	1520	278
845	1521	276
846	1523	275
847	1525	273
848	1527	271
849	1528	269
850	1529	267
851	1530	265
852	1531	263
853	1533	262
854	1534	260
855	1535	258
856	1538	256
857	1540	254
858	1541	252
859	1542	251
860	1543	249
861	1544	247
862	1545	245
863	1546	243
864	1547	241
865	1548	239
866	1549	237
867	1551	235
868	1553	234
869	1555	232
870	1556	230
871	1558	228
872	1559	226
873	1560	224
874	1561	223
875	1562	221
876	1563	219
877	1564	217
878	1566	215
879	1568	213
880	1569	211
881	1570	210
882	1571	208
883	1572	206
884	1573	204
885	1575	202
886	1576	200
887	1577	198
888	1578	197
889	1579	195
890	1581	193
891	1583	191
892	1584	189
893	1585	188
894	1586	186
895	1588	184
896	1589	182
897	1590	180
898	1591	178
899	1592	176
900	1593	175
901	1594	173
902	1597	171
903	1598	169
904	1599	167
905	1601	166
906	1602	164
907	1603	162
908	1604	160
909	1605	158
910	1606	156
911	1607	155
912	1608	153
913	1610	151
914	1611	149
915	1613	147
916	1614	146
917	1615	144
918	1616	142
919	1617	140
920	1618	138
921	1619	137
922	1620	135
923	1622	133
924	1623	131
925	1624	129
926	1625	128
927	1626	126
928	1628	124
929	1629	122
930	1630	120
931	1631	119
932	1633	117
933	1634	115
934	1635	113
935	1636	111
936	1637	110
937	1638	108
938	1641	106
939	1643	104
940	1644	103
941	1645	101
942	1647	99
943	1648	97
944	1649	96
945	1650	94
946	1651	92
947	1652	90
948	1653	88
949	1655	87
950	1656	85
951	1658	83
952	1659	81
953	1660	80
954	1661	78
955	1662	76
956	1663	74
957	1664	72
958	1665	71
959	1667	69
960	1668	67
961	1669	65
962	1670	64
963	1672	62
964	1673	60
965	1674	58
966	1675	57
967	1676	55
968	1677	53
969	1679	51
970	1680	50
971	1681	48
972	1682	46
973	1683	44
974	1685	43
975	1686	41
976	1687	39
977	1688	37
978	1689	36
979	1691	34
980	1692	32
981	1693	31
982	1694	29
983	1695	27
984	1696	25
985	1698	24
986	1699	22
987	1700	20
988	1701	18
989	1703	17
990	1704	15
991	1705	13
992	1706	12
993	1707	10
994	1708	8
995	1710	6
996	1711	5
997	1712	3
998	1713	1
999	1714	0
